고객번호,가입개월,요금제,월요금,월사용량GB,고객센터문의,연체횟수,이탈여부
C01142,21,알뜰,20658,6.1,1,0,유지
C01143,48,알뜰,22010,1.8,1,1,유지
C01144,11,표준,44259,8.0,4,1,유지
C01145,15,프리미엄,76237,16.7,0,1,유지
C01146,24,표준,45630,15.4,0,1,유지
C01147,43,알뜰,22819,9.3,0,1,유지
C01148,11,표준,44756,11.3,1,1,유지
C01149,57,프리미엄,79698,17.7,1,0,유지
C01150,27,표준,45065,13.4,1,1,유지
C01151,16,프리미엄,80221,18.2,0,1,유지
C01152,34,알뜰,20467,7.7,0,0,유지
C01153,26,표준,46666,15.2,2,0,유지
C01154,12,알뜰,23122,6.5,1,1,유지
C01155,58,알뜰,21294,5.5,1,0,유지
C01156,34,알뜰,20458,6.2,1,2,유지
C01157,7,알뜰,19952,7.9,0,0,유지
C01158,18,표준,42251,13.9,2,0,유지
C01159,16,프리미엄,76434,18.8,2,2,유지
C01160,15,표준,43564,11.6,0,1,유지
C01161,15,표준,43904,10.3,0,0,유지
C01162,58,표준,49677,10.6,1,1,유지
C01163,49,알뜰,21333,4.0,2,0,유지
C01164,57,표준,42371,15.6,0,0,유지
C01165,22,표준,48103,15.0,0,0,유지
C01166,34,프리미엄,80129,16.4,1,0,유지
C01167,36,표준,43180,8.4,1,0,유지
C01168,27,알뜰,23601,9.9,0,2,유지
C01169,16,표준,45564,16.7,1,0,유지
C01170,15,표준,47012,10.1,1,0,유지
C01171,37,알뜰,20720,6.4,0,1,유지
C01172,36,알뜰,22196,8.8,0,0,유지
C01173,39,표준,44332,14.1,0,1,유지
C01174,42,알뜰,20374,13.7,0,0,유지
C01175,3,알뜰,21768,7.0,0,1,유지
C01176,20,표준,48273,9.5,0,1,유지
C01177,33,알뜰,21127,11.3,1,0,유지
C01178,41,표준,43231,12.8,0,0,유지
C01179,59,표준,43215,10.2,1,0,유지
C01180,54,표준,46271,9.8,1,1,이탈
C01181,23,표준,44389,10.4,0,0,유지
C01182,26,알뜰,18705,7.3,0,0,유지
C01183,29,알뜰,18757,7.6,1,0,이탈
C01184,59,표준,43786,9.9,1,0,유지
C01185,3,프리미엄,79559,17.8,2,0,유지
C01186,14,표준,48177,8.0,1,0,유지
C01187,32,표준,47321,14.5,0,4,유지
C01188,25,프리미엄,77475,22.0,1,0,유지
C01189,6,알뜰,22772,5.4,2,0,이탈
C01190,28,표준,47378,7.3,0,2,유지
C01191,5,표준,43610,12.3,1,0,유지
C01192,2,알뜰,13921,3.1,2,0,유지
C01193,22,표준,48700,12.8,0,0,유지
C01194,35,알뜰,24665,6.3,0,1,유지
C01195,42,표준,46072,9.5,1,0,유지
C01196,46,알뜰,25015,4.8,0,1,유지
C01197,52,프리미엄,79783,19.2,0,2,유지
C01198,44,알뜰,20331,4.5,3,1,유지
C01199,5,프리미엄,74872,14.0,2,0,유지
C01200,33,표준,44237,12.3,0,0,유지
